UniqueCount	AmbigCount
0	112
0	107
0	117
0	114
0	110
0	113
0	107
0	110
0	109
0	107
0	112
0	116
0	107
0	112
0	121
0	118
0	127
0	124
0	114
0	120
0	115
0	110
0	117
0	116
0	118
0	105
0	101
0	167
0	5
0	446
0	1142
0	846
0	1050
0	1011
0	1089
0	1135
0	1101
0	856
0	1036
0	447
0	676
0	1085
0	1192
0	773
0	1099
0	1247
0	1043
0	268
0	732
0	771
0	952
0	865
0	365
0	793
0	1049
0	788
0	429
0	651
0	797
0	819
0	491
0	916
0	1170
0	1095
0	1033
0	885
0	955
0	327
0	1077
0	1131
0	1042
0	824
0	739
0	1079
0	1162
0	1286
0	577
0	802
0	525
0	280
0	712
0	1071
0	676
0	461
0	680
0	703
0	1024
0	458
0	1026
0	547
0	1043
0	858
0	302
0	635
0	1047
0	605
0	274
0	670
0	644
0	336
0	1038
0	1097
0	1098
0	1010
0	1036
0	979
0	645
0	1088
0	1120
0	740
0	261
0	364
0	791
0	1153
0	791
0	852
0	1095
0	1039
0	948
0	1126
0	756
0	518
0	1081
0	1027
0	419
0	818
0	303
0	302
0	631
0	801
0	1001
0	851
0	462
0	283
0	266
0	1043
0	989
0	406
0	628
0	234
0	275
0	319
0	806
0	451
0	834
0	1076
0	448
0	1118
0	354
0	719
0	1084
0	579
0	564
0	667
0	1116
0	620
0	997
0	1097
0	611
0	1091
0	825
0	1050
0	1134
0	834
0	1084
0	1102
0	1149
0	802
0	556
0	787
0	648
0	214
0	439
0	90
0	130
0	499
0	308
0	239
0	285
0	565
0	104
0	226
0	523
0	92
0	214
0	436
0	62
0	284
0	279
0	63
0	161
0	242
0	157
0	573
0	74
0	561
0	530
0	469
0	540
0	77
0	170
0	99
0	335
0	294
0	537
0	535
0	234
0	521
0	544
0	164
0	124
0	46
0	134
0	222
0	527
0	251
0	167
0	453
0	75
0	112
0	139
0	476
0	102
0	438
0	391
0	271
0	196
0	544
0	124
0	245
0	80
0	294
0	186
0	265
0	79
0	312
0	181
0	475
0	193
0	257
0	110
0	48
0	486
0	183
0	538
0	479
0	485
0	359
0	182
0	471
0	99
0	520
0	292
0	70
0	111
0	330
0	211
0	111
0	397
0	75
0	470
0	519
0	210
0	90
0	525
0	169
0	85
0	48
0	75
0	487
0	374
0	409
0	125
0	515
0	78
0	255
0	471
0	301
0	249
0	307
0	405
0	306
0	428
0	330
0	171
0	73
0	218
0	450
0	334
0	168
0	362
0	212
0	525
0	391
0	70
0	209
0	337
0	89
0	12
0	10
0	18
0	82
0	14
0	49
0	22
0	7
0	7
0	15
0	10
0	7
0	48
0	7
0	10
0	50
0	738
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	31
0	10
0	9
0	9
0	1
0	9
0	10
0	9
0	8
0	8
0	10
0	10
0	13
0	11
0	14
0	9
0	5
0	8
0	0
158	10
0	9
2	21
0	10
0	10
0	10
0	8
0	9
0	10
0	8
0	9
0	9
0	28
0	31
0	13
0	9
0	13
0	8
0	7
0	11
0	11
0	15
0	8
0	9
0	12
0	3
0	4
0	3
0	8
0	3
0	4
0	2
0	8
0	3
0	2
0	2
0	2
0	15
0	0
0	2
0	0
3	44
48	184
0	297
3	9
0	7
0	60
0	0
0	1
2	111
0	113
0	120
0	10
0	120
0	111
0	120
0	108
0	119
0	120
0	110
0	110
0	110
0	111
0	108
0	126
0	109
0	119
0	110
0	124
0	112
0	119
0	118
0	120
0	110
0	110
0	120
0	111
0	109
0	108
0	121
0	129
0	129
0	119
0	124
0	114
0	127
0	114
0	114
0	124
0	120
0	126
9	16
0	1010
0	931
0	319
0	804
0	1058
0	803
0	783
0	544
0	491
0	1039
0	723
0	795
0	989
0	996
0	775
0	955
0	1080
0	1049
0	964
0	1008
0	420
0	967
0	903
0	990
0	994
0	336
0	1033
0	1033
0	572
0	1112
0	1038
0	427
0	641
0	1000
0	953
0	1040
0	1010
0	953
0	461
0	310
0	1011
0	999
0	452
0	565
0	584
0	922
0	285
0	540
0	1088
0	751
0	804
0	1015
0	1004
0	988
0	987
0	500
0	916
0	816
0	923
0	873
0	1063
0	1027
0	871
0	1046
0	788
0	1001
0	652
0	572
0	719
0	805
0	802
0	826
0	671
0	963
0	771
0	1042
0	623
0	968
0	528
0	631
0	645
0	731
0	986
0	929
0	620
0	992
0	573
0	990
0	923
0	965
0	389
0	965
0	977
0	999
0	1005
0	1019
0	960
0	1047
0	529
0	256
0	596
0	996
0	624
0	740
0	1060
0	891
0	918
0	276
0	702
0	731
0	851
0	177
0	994
0	911
0	274
0	698
0	840
0	601
0	875
0	1011
0	613
0	986
0	780
0	1054
0	734
0	1013
0	801
0	1015
0	755
0	571
0	555
0	724
0	591
0	766
0	686
0	301
0	1010
0	835
0	364
0	760
0	676
